#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"
1000	2.0000000000000013	-782654.3444931251	274.7416559869686	495.1324724889444	0.9565780820342471
2000	3.999999999999781	-770622.2390243751	294.8418025226379	495.1324724889444	0.9565780820342471
3000	5.999999999999561	-767619.9733993751	299.76248715324846	495.1324724889444	0.9565780820342471
4000	7.999999999999341	-766203.2702743751	297.8293476303378	495.1324724889444	0.9565780820342471
5000	10.000000000000009	-766354.3718368751	300.97346276261175	495.1324724889444	0.9565780820342471
6000	12.000000000000677	-765978.0437118751	301.2186991158281	495.1324724889444	0.9565780820342471
7000	14.000000000001345	-766079.7937118751	298.9846793840366	495.1324724889444	0.9565780820342471
8000	16.00000000000201	-764644.7585556251	299.61825606468534	495.1324724889444	0.9565780820342471
9000	18.000000000000902	-764376.6608993751	297.9156213127344	495.1324724889444	0.9565780820342471
10000	19.999999999999794	-765816.5202743751	300.98835253635565	495.1324724889444	0.9565780820342471
11000	21.999999999998685	-766257.3640243751	299.39336709152536	495.1324724889444	0.9565780820342471
12000	23.999999999997577	-766609.9460556251	300.34896231854793	495.1324724889444	0.9565780820342471
13000	25.99999999999647	-767081.6921493751	300.1607539965101	495.1324724889444	0.9565780820342471
14000	27.99999999999536	-767721.2858993751	300.8219153177601	495.1324724889444	0.9565780820342471
15000	29.99999999999425	-767521.7585556251	300.18568892969876	495.1324724889444	0.9565780820342471
16000	31.999999999993143	-764724.7233993751	300.56505189022573	495.1324724889444	0.9565780820342471
17000	33.99999999999559	-764871.4226181251	299.7279420872052	495.1324724889444	0.9565780820342471
18000	35.99999999999803	-765131.6413681251	298.1336091822601	495.1324724889444	0.9565780820342471
19000	38.000000000000476	-765415.1999618751	298.17426439450105	495.1324724889444	0.9565780820342471
20000	40.00000000000292	-765833.2312118751	300.9409939598395	495.1324724889444	0.9565780820342471
21000	42.000000000005365	-766779.5632431251	299.201559913151	495.1324724889444	0.9565780820342471
22000	44.00000000000781	-766036.2976181251	299.56977037382205	495.1324724889444	0.9565780820342471
23000	46.00000000001025	-765864.4421493751	300.98944010283094	495.1324724889444	0.9565780820342471
24000	48.0000000000127	-766075.7741806251	300.5474135393897	495.1324724889444	0.9565780820342471
25000	50.00000000001514	-765455.5827743751	297.6028371944329	495.1324724889444	0.9565780820342471
26000	52.000000000017586	-766694.4968368751	300.31228166742585	495.1324724889444	0.9565780820342471
27000	54.00000000002003	-767275.6999618751	298.54862454924165	495.1324724889444	0.9565780820342471
28000	56.000000000022474	-766568.8015243751	301.4754438997469	495.1324724889444	0.9565780820342471
29000	58.00000000002492	-765220.1374618751	301.965125648743	495.1324724889444	0.9565780820342471
30000	60.00000000002736	-765540.3327743751	301.3405856568074	495.1324724889444	0.9565780820342471
31000	62.00000000002981	-766098.1491806251	299.74522450719473	495.1324724889444	0.9565780820342471
32000	64.00000000003224	-765780.4089462501	300.83824858882576	495.1324724889444	0.9565780820342471
33000	66.00000000002758	-766348.6921493751	299.9952461529025	495.1324724889444	0.9565780820342471
34000	68.00000000002292	-767041.4382431251	300.10811577910465	495.1324724889444	0.9565780820342471
35000	70.00000000001826	-764493.3093368751	296.39611298129125	495.1324724889444	0.9565780820342471
36000	72.0000000000136	-766614.0671493751	301.8270640281853	495.1324724889444	0.9565780820342471
37000	74.00000000000894	-765842.7937118751	300.59046139787637	495.1324724889444	0.9565780820342471
38000	76.00000000000428	-766345.5749618751	301.49225174527453	495.1324724889444	0.9565780820342471
39000	77.99999999999962	-766459.2038681251	300.9830135736586	495.1324724889444	0.9565780820342471
40000	79.99999999999496	-766534.9343368751	297.7133537222611	495.1324724889444	0.9565780820342471
41000	81.9999999999903	-767022.8210556251	299.14646972769214	495.1324724889444	0.9565780820342471
42000	83.99999999998563	-765021.2077743751	300.80067811058746	495.1324724889444	0.9565780820342471
43000	85.99999999998097	-765955.9812118751	301.43953443212547	495.1324724889444	0.9565780820342471
44000	87.99999999997631	-765634.2273056251	302.5203777692329	495.1324724889444	0.9565780820342471
45000	89.99999999997165	-766649.1491806251	301.2144279456704	495.1324724889444	0.9565780820342471
46000	91.99999999996699	-765381.2741806251	299.5044570634952	495.1324724889444	0.9565780820342471
47000	93.99999999996233	-766494.1374618751	301.6850476204446	495.1324724889444	0.9565780820342471
48000	95.99999999995767	-766797.2116806251	302.02140227035676	495.1324724889444	0.9565780820342471
49000	97.999999999953	-766487.0280868751	301.11502436982636	495.1324724889444	0.9565780820342471
50000	99.99999999994834	-766985.6374618751	303.6826897223096	495.1324724889444	0.9565780820342471
