#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
47.0%	235000	470.00000000151607	-869407.8249417925	131137.125	-738270.6999417925	296.9158670422128	523.1824909507222	1.0134118794846791	17	44:50
48.0%	240000	480.0000000015638	-869065.0074842554	133265.4375	-735799.5699842554	301.73471411754934	522.188518907069	1.0153408822115528	17	44:02
49.0%	245000	490.00000000161157	-870177.3186934246	133504.796875	-736672.5218184246	302.2766628323988	523.1867374688626	1.013403653985786	17	43:11
50.0%	250000	500.0000000016593	-869745.8730446207	132162.78125	-737583.0917946207	299.23812029243487	520.7293310034802	1.0181860707675483	17	42:23
51.0%	255000	510.00000000170706	-869269.9663227308	131492.328125	-737777.6381977308	297.72010492553903	522.1582855429245	1.0153996712252917	17	41:32
52.0%	260000	520.0000000015274	-870766.9015079006	132706.421875	-738060.4796329006	300.4690114495442	519.6727508237434	1.0202562105236772	17	40:41
53.0%	265000	530.0000000012909	-871469.7077139085	132530.859375	-738938.8483389085	300.071509278381	520.5788654931056	1.018480362174575	17	39:52
54.0%	270000	540.0000000010544	-869798.3436924024	133461.5	-736336.8436924024	302.17863163657347	521.3844409629984	1.0169067386985464	17	39:03
55.0%	275000	550.000000000818	-869850.7218214143	132652.796875	-737197.9249464143	300.3475956920298	521.1722761503519	1.0173207128057047	16.9	38:14
56.0%	280000	560.0000000005815	-871516.2849742668	132251.921875	-739264.3630992668	299.43994922501633	521.5483059540614	1.0165872372990663	16.9	37:25
57.0%	285000	570.000000000345	-869220.7466694019	132362.5625	-736858.1841694019	299.69045766876917	522.53741401864	1.0146629451665146	16.9	36:35
58.0%	290000	580.0000000001086	-870190.5781363668	132457.625	-737732.9531363668	299.90569469345377	523.2581434311346	1.0132653607475608	16.9	35:46
59.0%	295000	589.9999999998721	-870075.9127168152	133603.0	-736472.9127168152	302.4990107449798	521.8946403892918	1.015912619973183	16.9	34:56
60.0%	300000	599.9999999996356	-869036.0920522753	133306.53125	-735729.5608022753	301.8277570785816	522.1488483263549	1.0154180233611487	16.9	34:06
61.0%	305000	609.9999999993992	-869341.7512373175	133042.734375	-736299.0168623175	301.23047787283684	522.7191573452509	1.014310158748699	16.9	33:16
62.0%	310000	619.9999999991627	-869812.8066704399	132556.203125	-737256.6035454399	300.12889166727626	523.2430762409097	1.0132945385095458	16.9	32:26
63.0%	315000	629.9999999989262	-869950.907240998	134139.90625	-735811.000990998	303.71465417729644	523.4551773699901	1.0128839571933215	16.9	31:35
64.0%	320000	639.9999999986898	-870199.4266843074	132339.9375	-737859.4891843074	299.6392309738738	522.968739658079	1.0138260879885403	16.9	30:45
65.0%	325000	649.9999999984533	-870756.7018723926	131930.671875	-738826.0299973926	298.712586761585	522.5208972239278	1.014695018485795	16.8	29:55
66.0%	330000	659.9999999982168	-870788.9143184857	133588.1875	-737200.7268184857	302.46547282594616	522.6985790582581	1.014350091448696	16.8	29:04
67.0%	335000	669.9999999979804	-870461.1333533009	133781.046875	-736680.0864783009	302.9021379468671	523.795049990902	1.0122267315757505	16.8	28:14
68.0%	340000	679.9999999977439	-869553.7227909695	132979.390625	-736574.3321659695	301.08705727815055	523.1060373166179	1.0135599928986032	16.8	27:23
69.0%	345000	689.9999999975074	-869558.0667640353	132679.640625	-736878.4261390353	300.4083743258904	522.7094099761201	1.0143290733795467	16.8	26:32
70.0%	350000	699.999999997271	-869871.2332797879	133068.78125	-736802.4520297879	301.2894522515596	521.8616889649367	1.0159767667932242	16.8	25:41
71.0%	355000	709.9999999970345	-869832.3735205224	132992.53125	-736839.8422705224	301.11680979914985	522.2098175997304	1.0152994708235092	16.8	24:50
72.0%	360000	719.999999996798	-870490.5938854916	132830.234375	-737660.3595104916	300.74934316939976	522.4818134245585	1.01477092186751	16.8	24:00
73.0%	365000	729.9999999965615	-868561.4491399699	133204.4375	-735357.0116399699	301.59660015562145	521.4943192509354	1.016692477550697	16.8	23:09
74.0%	370000	739.9999999963251	-870881.4839010686	131645.328125	-739236.1557760686	298.06652191201374	522.0768937734033	1.015557971998603	16.8	22:18
75.0%	375000	749.9999999960886	-869545.2424097955	133352.3125	-736192.9299097955	301.93141330513095	522.9263968673145	1.013908180279487	16.8	21:27
76.0%	380000	759.9999999958521	-870575.2175989584	132278.6875	-738296.5300989584	299.5005509711184	521.6677002582885	1.0163545705538888	16.8	20:35
77.0%	385000	769.9999999956157	-871529.3820232041	131341.0625	-740188.3195232041	297.37761484730555	521.6902392764375	1.0163106601404157	16.8	19:44
78.0%	390000	779.9999999953792	-869498.8201373783	131753.40625	-737745.4138873783	298.3112284372839	520.3351266377534	1.018957445548283	16.8	18:53
79.0%	395000	789.9999999951427	-870085.6426813551	133329.71875	-736755.9239313551	301.88025736533905	522.0210172960074	1.0156666760549273	16.8	18:02
80.0%	400000	799.9999999949063	-871078.5253052823	133710.3125	-737368.2128052823	302.7419837702156	520.4335548618755	1.018764732816976	16.8	17:11
81.0%	405000	809.9999999946698	-870703.4875493068	133108.328125	-737595.1594243068	301.3789928349713	522.7972999782895	1.0141585495752663	16.8	16:19
82.0%	410000	819.9999999944333	-869666.9488908541	132889.6875	-736777.2613908541	300.883954753707	522.1535944077207	1.0154087937846206	16.7	15:28
83.0%	415000	829.9999999941969	-871560.7076544212	132720.34375	-738840.3639044212	300.50053284812964	521.0515778162486	1.0175563687762692	16.8	14:36
84.0%	420000	839.9999999939604	-870372.1575289369	132323.296875	-738048.8606539369	299.60155388128845	524.1471081793325	1.0115468409423034	16.9	13:40
85.0%	425000	849.9999999937239	-869169.702752857	132956.34375	-736213.359002857	301.03487538935866	520.9733484627444	1.0177091650318135	17	12:40
86.0%	430000	859.9999999934874	-871065.0350958593	132345.140625	-738719.8944708593	299.65101169859764	524.2870813743116	1.0112767800382154	17.2	11:41
