#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"
51000	101.99999999994368	-662294.1585131446	302.5247697361972	415.0480103788482	0.9895074964459374
52000	103.99999999993902	-662390.8455655668	299.19880288507096	408.5384111108864	1.0052741834925538
53000	105.99999999993436	-663958.0988430898	300.55465484220105	406.29465008976996	1.0108258072413698
54000	107.9999999999297	-664216.7124021323	300.12800996418133	403.6266084792819	1.0175075404522602
55000	109.99999999992504	-663909.441202322	298.8577329793816	404.4531677964435	1.015428114687282
56000	111.99999999992038	-665460.647915192	298.48083410603834	403.25598578231416	1.0184427067042772
57000	113.99999999991572	-664811.1341105583	304.43787261109753	402.17890418684476	1.0211702140001884
58000	115.99999999991105	-664279.9071267992	302.7308375495251	402.11611198999486	1.0213296742137508
59000	117.9999999999064	-664214.140745813	301.13830485311234	402.99852245469737	1.0190933583410573
60000	119.99999999990173	-664918.6811582283	302.7084017369764	402.81843139444146	1.0195489720595459
61000	121.99999999989707	-663156.1487129093	301.4785092147643	402.53718329595216	1.0202613191956802
62000	123.99999999989241	-663974.5744500095	301.804500432223	402.06526368546673	1.0214588395184627
63000	125.99999999988775	-665106.5373396263	299.0328006496853	399.9070781196846	1.0269713644126321
64000	127.99999999988309	-665133.40554723	300.3449198554515	400.5577125275908	1.0253032329930551
65000	129.99999999989262	-664496.9560204805	301.2986582747801	400.2639395466196	1.0260557524118588
66000	131.99999999990217	-663803.9324710919	298.65442124048866	401.9046410889956	1.021867069118766
67000	133.99999999991172	-664711.1633833973	302.76971869878463	401.4317713690568	1.0230707854891492
68000	135.99999999992127	-666494.6457075751	298.3884031138326	400.7729837265452	1.0247525016183852
69000	137.99999999993082	-666310.6422312851	301.2223537346399	401.2228691131336	1.023603461494209
70000	139.99999999994037	-665081.7472661976	298.43006311500176	401.1935420493485	1.0236782864374339
71000	141.99999999994992	-665227.2438715799	299.1545006968403	400.82163053285916	1.0246281297465387
72000	143.99999999995947	-665189.4513615617	298.2961315639497	400.81991966222256	1.0246325032970898
73000	145.99999999996902	-664498.0393125731	298.2450644657424	401.50235567901535	1.0228909291460642
74000	147.99999999997857	-665308.455491303	302.14456812902694	401.33512275960646	1.0233171590636994
75000	149.99999999998812	-663378.0241300068	300.102043643059	399.9355076748987	1.0268983617945908
76000	151.99999999999767	-664303.8628428457	299.03325619917877	401.50481214108197	1.0228846709576447
77000	154.00000000000722	-664794.4473908581	300.55743369411067	402.0745567251217	1.0214352308186763
78000	156.00000000001677	-664394.0346921966	299.6504118753277	402.5997717023752	1.0201027087478065
79000	158.00000000002632	-663922.5916718133	301.2986582747801	401.7431480559152	1.022277840063325
80000	160.00000000003587	-663701.158884848	301.7215448694795	402.56074707873233	1.0202015984795425
81000	162.00000000004542	-663961.8973433645	301.5754501469544	401.3952967289589	1.023163751547794
82000	164.00000000005497	-664305.5533031714	300.74277400549005	401.1857972046784	1.0236980484264566
83000	166.00000000006452	-665113.235268068	301.0332323624655	401.38343524014124	1.0231939875872815
84000	168.00000000007407	-666407.2338505462	298.9417363059598	400.3837127343614	1.0257488119336164
85000	170.00000000008362	-665306.0770303882	297.6588633776683	401.9241346349716	1.021817507992731
86000	172.00000000009317	-666358.2914928114	299.86062518904527	402.0155090941893	1.0215852581911689
87000	174.00000000010272	-666550.6647744924	300.57506345950424	401.9893145806676	1.0216518269478214
88000	176.00000000011227	-664869.2305162982	300.18092203783675	401.8645595816181	1.021968988960895
89000	178.00000000012182	-664885.1761848079	296.73915450549475	401.0446706126445	1.024058285146784
90000	180.00000000013137	-665175.8251981148	298.03291506667796	400.2441272589827	1.0261065426928744
91000	182.00000000014091	-664412.7386290682	300.6734165951238	401.0991349398185	1.023919230632254
92000	184.00000000015046	-665948.26708879	297.52862177751257	401.41277345137485	1.0231192050110256
93000	186.00000000016001	-666510.3967025876	298.04858596925004	401.61747361402	1.022597732013881
94000	188.00000000016956	-665301.9268088276	296.393847989517	400.79286193432534	1.0247016767532615
95000	190.0000000001791	-665192.3324856623	299.6146284626231	401.0498727936706	1.024045001670234
96000	192.00000000018866	-664904.2538130195	300.128647733472	401.65835129388773	1.022493659927273
97000	194.0000000001982	-664987.2175488118	301.58310337844307	399.4604923118819	1.0281194900600827
98000	196.00000000020776	-664976.8491163608	301.58260227400035	401.3470872621949	1.0232866530972005
99000	198.0000000002173	-664096.3610164956	299.50734655693344	401.8013826738418	1.0221296774088444
100000	200.00000000022686	-665110.5106852688	299.88643206784485	401.2231893660446	1.023602644462699
