#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
42.0%	210000	420.00000000127733	-775575.0053319861	118799.8046875	-656775.2006444861	300.6898847476564	466.5001435379502	1.0152898717121588	25.4	32:53
43.0%	215000	430.0000000013251	-771791.2546080286	119165.3671875	-652625.8874205286	301.61514675698555	465.72258304545227	1.0169849780295597	25.4	32:19
44.0%	220000	440.0000000013728	-771273.6368489279	118903.6875	-652369.9493489279	300.9528187735166	465.66072979111794	1.017120063138687	25.4	31:46
45.0%	225000	450.0000000014206	-772027.2727718558	118273.6171875	-653753.6555843558	299.3580706159173	466.84561046071457	1.014538554660365	25.4	31:12
46.0%	230000	460.0000000014683	-770872.6348288539	118291.796875	-652580.8379538539	299.4040845647912	467.8485240988851	1.0123637170783106	25.4	30:39
47.0%	235000	470.00000000151607	-772997.3479931871	118194.46875	-654802.8792431871	299.15774087116364	465.3415903479217	1.017817621958588	25.3	30:06
48.0%	240000	480.0000000015638	-772126.9571318426	118088.375	-654038.5821318426	298.8892108214395	465.8328953974816	1.0167441491700837	25.3	29:32
49.0%	245000	490.00000000161157	-772950.5011746814	119745.1953125	-653205.3058621814	303.0827287327162	465.2358607949879	1.0180489313033876	25.3	28:58
50.0%	250000	500.0000000016593	-772818.6919466439	118279.890625	-654538.8013216439	299.37394908645695	464.8450088394384	1.0189049293416121	25.3	28:24
51.0%	255000	510.00000000170706	-771521.7689963775	118869.078125	-652652.6908713775	300.8652202374136	466.05555949772	1.0162583864395809	25.3	27:50
52.0%	260000	520.0000000015274	-771949.7640543263	118608.453125	-653341.3109293263	300.2055617352932	467.1237279480144	1.0139345157372504	25.3	27:17
53.0%	265000	530.0000000012909	-773455.947821999	119017.453125	-654438.494696999	301.24076682830906	467.53224123172873	1.013048575299423	25.3	26:43
54.0%	270000	540.0000000010544	-772036.3324472816	117983.71875	-654052.6136972816	298.6243191759238	464.8999289043501	1.0187845629543981	25.3	26:09
55.0%	275000	550.000000000818	-772253.764605578	118904.0625	-653349.702105578	300.9537679224405	467.4918977468093	1.0131359990817759	25.3	25:35
56.0%	280000	560.0000000005815	-772724.8153045778	118163.375	-654561.4403045778	299.0790406062224	465.53659634540736	1.0173912740792017	25.3	25:01
57.0%	285000	570.000000000345	-771233.8767078384	118376.703125	-652857.1735828384	299.61898770031416	467.5062962973423	1.0131047958873052	25.3	24:27
58.0%	290000	580.0000000001086	-771700.3414810323	117951.6171875	-653748.7242935323	298.5430680732495	466.4296699558689	1.015443273433188	25.3	23:54
59.0%	295000	589.9999999998721	-772629.388240735	118941.84375	-653687.544490735	301.04939467652486	465.5391927054393	1.0173855999832668	25.3	23:20
60.0%	300000	599.9999999996356	-771246.4123369907	117491.28125	-653755.1310869907	297.37792844733696	466.45454947208	1.0153891122348218	25.3	22:47
61.0%	305000	609.9999999993992	-772847.2895492762	118698.7578125	-654148.5317367762	300.4341286605333	467.1308286357162	1.013919103283383	25.3	22:13
62.0%	310000	619.9999999991627	-772094.1898313593	118407.859375	-653686.3304563593	299.69784615674274	466.7594978087758	1.01472572729605	25.3	21:39
63.0%	315000	629.9999999989262	-773030.3759643133	118254.6171875	-654775.7587768133	299.30998040377233	467.60321625149123	1.01289481001263	25.2	21:06
64.0%	320000	639.9999999986898	-773184.886413936	118775.1953125	-654409.691101436	300.6275968495245	466.6393601423973	1.0149869713986783	25.2	20:32
65.0%	325000	649.9999999984533	-773349.2888913238	119563.0	-653786.2888913238	302.6215807732452	467.36063147549265	1.0134205557516782	25.2	19:58
66.0%	330000	659.9999999982168	-773353.5238272888	118363.140625	-654990.3832022888	299.5846601475659	466.68382927477904	1.0148902558341666	25.2	19:24
67.0%	335000	669.9999999979804	-772058.0099772369	118359.609375	-653698.4006022369	299.57572232853244	466.7551102379816	1.0147352658760622	25.2	18:50
68.0%	340000	679.9999999977439	-771262.705382837	119173.265625	-652089.439757837	301.63513820619545	466.15583359914575	1.016039780580399	25.2	18:16
69.0%	345000	689.9999999975074	-772817.0118986503	118991.5703125	-653825.4415861503	301.17525577862307	465.93927004117927	1.016512024935116	25.2	17:42
70.0%	350000	699.999999997271	-773388.33816317	118560.59375	-654827.74441317	300.0844266038786	464.87540813881554	1.018838300745129	25.2	17:08
71.0%	355000	709.9999999970345	-773040.9158783765	118060.484375	-654980.4315033765	298.8186178702234	465.3199850698492	1.0178648802613794	25.2	16:34
72.0%	360000	719.999999996798	-775276.6934556579	118468.0390625	-656808.6543931579	299.85016478509505	466.2711902113627	1.0157884098986454	25.2	16:00
73.0%	365000	729.9999999965615	-772353.9965704763	118507.453125	-653846.5434454763	299.94992429178563	466.0407827672728	1.016290608890483	25.2	15:26
74.0%	370000	739.9999999963251	-772549.7990929531	118550.0625	-653999.7365929531	300.0577713382654	465.2191856172035	1.0180854219457507	25.2	14:52
75.0%	375000	749.9999999960886	-772583.1418549418	119273.03125	-653310.1106049418	301.88765136782854	466.95320070888175	1.0143047957853737	25.2	14:18
76.0%	380000	759.9999999958521	-773867.6869529928	118691.453125	-655176.2338279928	300.4156400304529	463.814571573633	1.0211685874365792	25.2	13:44
77.0%	385000	769.9999999956157	-773472.8985023149	118862.921875	-654609.9766273149	300.8496383759127	464.91843900665407	1.0187440014173543	25.2	13:09
78.0%	390000	779.9999999953792	-773572.308026481	118620.8828125	-654951.425213981	300.2370220673338	466.5346460163064	1.0152147861485823	25.2	12:35
79.0%	395000	789.9999999951427	-772724.9598344998	118671.5390625	-654053.4207719998	300.36523626780587	466.2862494646666	1.015755603838022	25.2	12:01
80.0%	400000	799.9999999949063	-771559.60695587	118830.859375	-652728.74758087	300.76848614291805	467.52745533697015	1.0130589454794228	25.1	11:27
81.0%	405000	809.9999999946698	-772986.852561038	118188.15625	-654798.696311038	299.1417635309444	466.5432585354687	1.0151960449994184	25.1	10:52
82.0%	410000	819.9999999944333	-773693.9143800074	117918.140625	-655775.7737550074	298.4583367578543	464.92180943593456	1.0187366160795577	25.1	10:18
83.0%	415000	829.9999999941969	-771848.9670817005	118627.609375	-653221.3577067005	300.25404742615655	467.28078460580514	1.0135937245652045	25.1	9:44
84.0%	420000	839.9999999939604	-772025.6952996952	119178.3984375	-652847.2968621952	301.64812968209156	465.4857899157272	1.0175023193986155	25.1	9:10
85.0%	425000	849.9999999937239	-773798.7608482144	118806.5390625	-654992.2217857144	300.70692988041503	465.1650767286099	1.0182038475830797	25.1	8:35
86.0%	430000	859.9999999934874	-773506.4046352422	119317.90625	-654188.4983852422	302.00123285572363	466.5372240674371	1.0152091761447233	25.1	8:01
87.0%	435000	869.999999993251	-772271.7891377066	118249.7421875	-654022.0469502066	299.2976414677614	467.33752010649744	1.0134706727129825	25.1	7:27
88.0%	440000	879.9999999930145	-772829.4422884132	118597.9921875	-654231.4501009132	300.17908443510316	465.8806159968454	1.0166400030894525	25.1	6:52
89.0%	445000	889.999999992778	-773230.4271891844	118708.109375	-654522.3178141844	300.45779806182344	465.622546065626	1.0172034728309611	25.1	6:18
90.0%	450000	899.9999999925416	-772487.173959712	118615.765625	-653871.408334712	300.2240701393095	467.4099538169548	1.0133136169193164	25.1	5:44
91.0%	455000	909.9999999923051	-772375.2344923359	118532.0234375	-653843.2110548359	300.0121133202379	465.6470809386088	1.017149876536632	25.1	5:09
92.0%	460000	919.9999999920686	-772484.5857386873	119072.59375	-653411.9919886873	301.38033126799627	465.0404841822487	1.0184766423491272	25.1	4:35
93.0%	465000	929.9999999918322	-773922.1253727404	119179.953125	-654742.1722477404	301.6520646953386	466.07205077178645	1.0162224276311833	25.1	4:00
94.0%	470000	939.9999999915957	-772486.4357289346	118741.9375	-653744.4982289346	300.54341920433484	465.67169301134425	1.0170961172742163	25.1	3:26
95.0%	475000	949.9999999913592	-773156.4499435979	118623.9609375	-654532.4890060979	300.2448129980842	465.19552910336904	1.018137194480872	25.1	2:52
96.0%	480000	959.9999999911228	-773234.9004603787	117758.984375	-655475.9160853787	298.05550213539635	467.03988987953284	1.014116526553046	25.1	2:17
97.0%	485000	969.9999999908863	-772706.815530797	117897.4609375	-654809.354593297	298.4059951494876	465.12956604572497	1.0182815831573866	25.1	1:43
98.0%	490000	979.9999999906498	-773358.9618061208	118209.421875	-655149.5399311208	299.1955881845047	464.66334087440487	1.0193032873974204	25.1	1:08
99.0%	495000	989.9999999904134	-773145.8353397162	119268.09375	-653877.7415897162	301.8751542403303	466.75888544877773	1.0147270585560724	25.1	0:34
100.0%	500000	999.9999999901769	-771325.6121005462	119294.34375	-652031.2683505462	301.9415946650043	466.38111368186236	1.0155489941418026	25.1	0:00
101.0%	505000	1009.9999999899404	-773589.3066726625	119904.546875	-653684.7597976625	303.48605770357204	466.6136162951349	1.015042969913622	25.1	23:59:26
102.0%	510000	1019.999999989704	-772891.3992881295	118757.25	-654134.1492881295	300.58217611872806	465.71524967707194	1.0170009919468328	25.1	23:58:52
103.0%	515000	1029.9999999894676	-773241.147806759	118763.796875	-654477.350931759	300.5987466770247	464.3069991102926	1.0200855722483757	25.1	23:58:17
104.0%	520000	1039.9999999892311	-772817.674460581	118819.03125	-653998.643210581	300.73854840394296	465.41045475178413	1.0176670206924125	25.1	23:57:43
105.0%	525000	1049.9999999889947	-772170.67196943	119346.921875	-652823.75009443	302.07467325371147	465.37570345033345	1.0177430136012608	25.1	23:57:08
106.0%	530000	1059.9999999887582	-770426.9594774507	119079.0234375	-651347.9360399507	301.39660521725426	466.72813613883307	1.0147939115148226	25.1	23:56:34
107.0%	535000	1069.9999999885217	-773087.7195546036	118964.1015625	-654123.6179921036	301.1057306199463	466.7141391057759	1.014824345784401	25.1	23:55:59
108.0%	540000	1079.9999999882853	-771309.8292548917	118634.046875	-652675.7823798917	300.2703411493504	465.93378214393636	1.016523997695523	25	23:55:25
109.0%	545000	1089.9999999880488	-771537.945997715	118196.671875	-653341.274122715	299.1633171210916	467.69716708371834	1.0126913400815365	25	23:54:50
110.0%	550000	1099.9999999878123	-772981.9178333236	119214.265625	-653767.6522083236	301.7389118218768	464.8766736075201	1.018835527304219	25	23:54:15
111.0%	555000	1109.9999999875758	-772259.9857067079	118702.546875	-653557.4388317079	300.44371901945203	466.75815366439815	1.014728649447212	25	23:53:41
112.0%	560000	1119.9999999873394	-772176.4703748259	119030.421875	-653146.0484998259	301.2735915619278	465.64006788119235	1.0171651959452852	25	23:53:06
113.0%	565000	1129.999999987103	-773263.7290242771	118585.25	-654678.4790242771	300.14683314562603	464.6869308563052	1.0192515421373238	25	23:52:32
114.0%	570000	1139.9999999868664	-772988.0839291154	118957.203125	-654030.8808041154	301.08827023453347	465.2221451482853	1.018078945350684	25	23:51:57
115.0%	575000	1149.99999998663	-773451.8817305588	118891.6875	-654560.1942305588	300.9224460079513	466.66589647285355	1.0149292555255338	25	23:51:23
116.0%	580000	1159.9999999863935	-774151.4109612489	118343.921875	-655807.4890862489	299.5360162652153	465.5141887684995	1.017440246320584	25	23:50:48
117.0%	585000	1169.999999986157	-773342.206866534	117381.8671875	-655960.339679034	297.1009944748491	464.6925977924132	1.0192391123431013	25	23:50:14
118.0%	590000	1179.9999999859206	-772908.0846592966	118971.765625	-653936.3190342966	301.12512885107884	465.8057472888606	1.016803407092001	25	23:49:39
119.0%	595000	1189.999999985684	-771911.1930823126	118989.53125	-652921.6618323126	301.1700947813493	467.50335189706726	1.0131111765603584	25.1	23:49:06
