#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
21.0%	105000	210.0000000002746	-771637.9925695532	119291.34375	-652346.6488195532	301.93400147361297	465.4350811082936	1.0176131755228568	0	--
22.0%	110000	220.00000000032236	-773348.3832344078	118584.375	-654764.0082344078	300.14461846480356	467.21229286024453	1.01374231398493	25.5	44:04
23.0%	115000	230.0000000003701	-770938.399564377	119531.46875	-651406.930814377	302.5417731678928	466.65582706950767	1.0149511554600221	25.4	43:40
24.0%	120000	240.00000000041786	-774009.2973640137	118802.375	-655206.9223640137	300.6963903725724	466.9537839378869	1.0143035289105837	25.4	43:06
25.0%	125000	250.0000000004656	-771510.2665471276	118832.3125	-652677.9540471276	300.77216409499823	465.72450618504195	1.0169807785424223	25.4	42:31
26.0%	130000	260.00000000051335	-772949.5361537263	119247.21875	-653702.3174037263	301.8223182835658	466.28207591154694	1.0157646955663733	25.4	41:53
27.0%	135000	270.0000000005611	-771380.9687516782	118323.9140625	-653057.0546891782	299.4853752153373	467.5055281265885	1.013106460546711	25.5	41:14
28.0%	140000	280.00000000060885	-772646.9472838072	119509.7578125	-653137.1894713072	302.48682139998533	465.5206209051951	1.0174261882650437	25.5	40:40
29.0%	145000	290.0000000006566	-772224.2118169302	119204.3203125	-653019.8915044302	301.7137396014571	466.04708075649967	1.0162768751121365	25.5	40:05
30.0%	150000	300.00000000070435	-772389.55603055	118932.84375	-653456.71228055	301.0266151023509	467.1194372530587	1.0139438291662475	25.5	39:33
31.0%	155000	310.0000000007521	-771695.933485805	118809.7421875	-652886.191298305	300.7150371941401	467.54780623291276	1.0130148501871161	25.5	38:59
32.0%	160000	320.00000000079984	-774297.7314368868	119961.09375	-654336.6376868868	303.629181451724	467.9234707655206	1.0122015681570489	25.5	38:24
33.0%	165000	330.0000000008476	-772476.1509158243	118796.484375	-653679.6665408243	300.6814808248926	465.2809604001163	1.0179502519919372	25.5	37:51
34.0%	170000	340.00000000089534	-772348.8575171558	118450.296875	-653898.5606421558	299.8052581766323	465.99224700318143	1.0163964613838639	25.5	37:17
35.0%	175000	350.0000000009431	-772397.4656918882	118585.90625	-653811.5594418882	300.14849415624286	468.6630731862976	1.0106042015776135	25.5	36:45
36.0%	180000	360.00000000099084	-773736.6720467662	118925.71875	-654810.9532967662	301.00858127279656	464.9305754546764	1.018717408342444	25.4	36:13
37.0%	185000	370.0000000010386	-771948.7044159658	119208.71875	-652739.9856659658	301.7248723273772	467.07431389529955	1.0140417847779992	25.4	35:41
38.0%	190000	380.00000000108633	-770916.8681555646	117901.8359375	-653015.0322180646	298.4170685535999	467.10476711563985	1.0139756736181909	25.4	35:09
39.0%	195000	390.0000000011341	-772175.7272597016	119103.359375	-653072.3678847016	301.4582010276291	467.358066833901	1.013426116927769	25.4	34:36
40.0%	200000	400.00000000118183	-773047.8447961481	118817.265625	-654230.5791711481	300.73407949442617	465.91182903134114	1.0165718948820432	25.4	34:01
41.0%	205000	410.0000000012296	-771907.4032582114	118647.5234375	-653259.8798207114	300.30445118880357	466.27475392802234	1.0157806462741976	25.4	33:27
