#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
21.0%	105000	210.0000000002746	-664066.898637718	102977.1875	-561089.711137718	300.231715806348	401.18750026476073	1.0236937027793929	0	--
22.0%	110000	220.00000000032236	-664459.4749202654	102832.234375	-561627.2405452654	299.80910254134466	403.4927474687125	1.0178451043576375	26.1	43:03
23.0%	115000	230.0000000003701	-664336.3451547972	103158.375	-561177.9701547972	300.7599709988649	402.57807243822964	1.0201576930592937	26.2	42:16
24.0%	120000	240.00000000041786	-663482.1844329182	102785.65625	-560696.5281829182	299.6733032373697	401.53693004876834	1.0228028530400957	26.3	41:33
25.0%	125000	250.0000000004656	-665787.4032297875	102996.671875	-562790.7313547875	300.28852282817184	401.20992464240953	1.0236364866120502	26.3	41:08
26.0%	130000	260.00000000051335	-664525.6830820492	102940.375	-561585.3080820492	300.124388345709	402.4683631625688	1.0204357789209648	26.2	40:38
27.0%	135000	270.0000000005611	-663548.6850315472	102857.6953125	-560690.9897190472	299.8833343312899	401.8691446081474	1.0219573290586872	26.3	40:02
28.0%	140000	280.00000000060885	-663640.0452335449	102206.75	-561433.2952335449	297.98549236441767	401.50448373201954	1.0228855076222632	26.2	39:32
29.0%	145000	290.0000000006566	-663292.755560677	102858.1875	-560434.568060677	299.8847693121941	400.88620264702143	1.0244630893831361	26.2	39:00
30.0%	150000	300.00000000070435	-664828.9909484335	103753.296875	-561075.6940734335	302.4944756948878	401.65682835793456	1.022497536849677	26.2	38:27
31.0%	155000	310.0000000007521	-665728.9535311838	103106.265625	-562622.6879061838	300.6080452428246	401.0183938880645	1.0241253865514146	26.2	37:56
32.0%	160000	320.00000000079984	-664737.0699871867	102224.703125	-562512.3668621867	298.0378350012064	402.7092924983731	1.0198252816738782	26.2	37:23
33.0%	165000	330.0000000008476	-664969.7543444415	103305.5625	-561664.1918444415	301.1890986216236	402.04096941512125	1.0215205635691986	26.2	36:51
34.0%	170000	340.00000000089534	-664801.4309652117	103181.828125	-561619.6028402117	300.8283489778204	401.1243618318328	1.0238548358900732	26.2	36:18
35.0%	175000	350.0000000009431	-664764.2809744836	103989.5546875	-560774.7262869836	303.18328930634453	400.8597076725248	1.0245308016597916	26.2	35:45
36.0%	180000	360.00000000099084	-663352.4445521887	103043.5546875	-560308.8898646887	300.4252104536588	400.6144071881631	1.0251581328225787	26.1	35:15
37.0%	185000	370.0000000010386	-664076.4527792949	101979.546875	-562096.9059042949	297.323077846102	401.6272764837133	1.0225727725728708	26.1	34:45
38.0%	190000	380.00000000108633	-665953.1718701608	102646.0625	-563307.1093701608	299.266315319989	399.74827539137675	1.0273793357901273	26.1	34:14
39.0%	195000	390.0000000011341	-665868.8372989316	102807.03125	-563061.8060489316	299.73562240806336	400.72166491636807	1.0248837375452475	26.1	33:43
40.0%	200000	400.00000000118183	-663917.8405052996	102611.2578125	-561306.5826927996	299.1648416703399	401.3355667769928	1.0233160269173165	26.1	33:09
41.0%	205000	410.0000000012296	-666037.5963022411	103235.375	-562802.2213022411	300.9844657891998	401.8219470856873	1.0220773669370093	26	32:37
42.0%	210000	420.00000000127733	-667068.7127489853	102354.875	-564713.8377489853	298.4173532841366	401.29583818641896	1.023417335975603	26	32:04
43.0%	215000	430.0000000013251	-664560.3626037003	103331.8984375	-561228.4641662003	301.2658814887318	401.1009168966053	1.023914681702682	26	31:32
44.0%	220000	440.0000000013728	-664340.0114158457	102073.3359375	-562266.6754783457	297.5965214295	401.1802172592952	1.0237122868633322	26	30:59
45.0%	225000	450.0000000014206	-665580.63449786	103395.5	-562185.13449786	301.45131291000985	401.70777130741465	1.0223678678612138	26	30:27
