#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
41.0%	205000	410.0000000012296	-821360.5538622462	126193.84375	-695166.7101122462	300.4727697046533	494.8646557837202	1.01855948876332	25.3	33:34
42.0%	210000	420.00000000127733	-818945.818544182	125663.1875	-693282.631044182	299.20925519031243	495.28737948239205	1.0176901566296055	25.3	32:58
43.0%	215000	430.0000000013251	-817194.9158538892	126783.7578125	-690411.1580413892	301.8773795253847	497.05435930231414	1.0140723672750933	25.3	32:24
44.0%	220000	440.0000000013728	-818239.4485420547	126113.359375	-692126.0891670547	300.2811330736136	494.9342907525432	1.0184161821475337	25.3	31:48
45.0%	225000	450.0000000014206	-819995.9408100471	126560.8125	-693435.1283100471	301.3465375005371	494.8441732831891	1.018601648793479	25.4	31:12
46.0%	230000	460.0000000014683	-820028.243634338	126022.9375	-694005.306134338	300.06583484340064	496.98611598189837	1.014211613952735	25.4	30:36
47.0%	235000	470.00000000151607	-818433.9496649378	126572.28125	-691861.6684149378	301.3738450693943	496.18539875561703	1.0158482939365139	25.4	30:00
48.0%	240000	480.0000000015638	-819309.0900800508	126101.1484375	-693207.9416425508	300.2520583255729	497.5557339001709	1.0130505116502877	25.4	29:25
49.0%	245000	490.00000000161157	-819786.5561026935	125559.5	-694227.0561026935	298.9623709574296	494.30396674457484	1.019714840893768	25.5	28:48
50.0%	250000	500.0000000016593	-820710.0011476567	125075.03125	-695634.9698976567	297.808830793963	495.17337221801523	1.0179244666253568	25.5	28:12
51.0%	255000	510.00000000170706	-819697.877428642	125493.1875	-694204.689928642	298.80447814785236	496.9280373044817	1.0143301503699569	25.6	27:36
52.0%	260000	520.0000000015274	-819801.487426904	125504.390625	-694297.096801904	298.83115325258063	495.96043772950696	1.0163090691459689	25.6	27:00
53.0%	265000	530.0000000012909	-817203.1097175502	126099.6484375	-691103.4612800502	300.2484867634335	494.92149791762023	1.0184425063831062	25.6	26:24
54.0%	270000	540.0000000010544	-819503.0495573664	126738.125	-692764.9245573664	301.7687259084266	494.89003176418777	1.0185072611086232	25.6	25:50
55.0%	275000	550.000000000818	-818458.473346916	126462.1484375	-691996.324909416	301.111614280444	497.52170818637575	1.0131197945905135	25.7	25:15
56.0%	280000	560.0000000005815	-817119.7857828662	126524.0703125	-690595.7154703662	301.2590528300091	497.52663893403434	1.0131097540466227	25.7	24:40
57.0%	285000	570.000000000345	-819838.654758391	126431.953125	-693406.701633391	301.03971799050333	494.2183360642831	1.0198915216624838	25.7	24:05
58.0%	290000	580.0000000001086	-819872.5986444247	125335.6796875	-694536.9189569247	298.4294455213341	496.34646869851923	1.0155186398802847	25.7	23:30
59.0%	295000	589.9999999998721	-819220.086441962	125195.5546875	-694024.531754462	298.0958020914828	495.9495058906503	1.0163314708760653	25.7	22:57
60.0%	300000	599.9999999996356	-819773.1946914326	126726.140625	-693047.0540664326	301.740190615084	495.280406383277	1.0177044847844026	25.7	22:24
61.0%	305000	609.9999999993992	-817647.388061048	126016.1796875	-691631.208373548	300.04974421188746	496.5464002387168	1.0151097471651767	25.7	21:51
62.0%	310000	619.9999999991627	-819696.6921490557	127314.953125	-692381.7390240557	303.1421775698694	496.5758973198191	1.0150494486796853	25.7	21:17
63.0%	315000	629.9999999989262	-818761.9074275596	125678.796875	-693083.1105525596	299.246421758825	496.41112542529356	1.0153863702596615	25.7	20:43
64.0%	320000	639.9999999986898	-817434.2834785455	125928.4453125	-691505.8381660455	299.8408450305076	496.3649315261689	1.0154808665719133	25.7	20:10
65.0%	325000	649.9999999984533	-818908.1542128641	126176.484375	-692731.6698378641	300.4314363136447	495.0523803138898	1.0181732496317022	25.7	19:37
66.0%	330000	659.9999999982168	-818259.5253379941	127135.15625	-691124.3690879941	302.7140737621867	496.9364523519091	1.0143129738551688	25.7	19:04
67.0%	335000	669.9999999979804	-818803.7376472633	125867.984375	-692935.7532722633	299.696885033651	496.0846924782881	1.0160545133614718	25.7	18:31
68.0%	340000	679.9999999977439	-819156.2225961923	125788.71875	-693367.5038461923	299.5081502968496	495.6201040465651	1.0170069508615927	25.6	17:57
69.0%	345000	689.9999999975074	-818674.5855033374	125516.6484375	-693157.9370658374	298.8603396119382	497.4135756434392	1.01334003630697	25.7	17:23
70.0%	350000	699.999999997271	-818460.1010409608	125208.453125	-693251.6479159608	298.12651380550403	496.19727126348334	1.0158239877430721	25.7	16:48
71.0%	355000	709.9999999970345	-819041.6668236889	126235.875	-692805.7918236889	300.5728478520997	494.1600101524634	1.020011899883578	25.7	16:14
72.0%	360000	719.999999996798	-819124.8202270498	127006.3359375	-692118.4842895498	302.40734726158354	495.15207149268684	1.017968256262353	25.7	15:39
73.0%	365000	729.9999999965615	-818743.2587270662	126725.0	-692018.2587270662	301.7374747397072	496.2181468767131	1.0157812526097214	25.8	15:05
74.0%	370000	739.9999999963251	-818367.8800716912	126599.828125	-691768.0519466912	301.4394353199326	494.91262710458847	1.0184607609447458	25.8	14:31
75.0%	375000	749.9999999960886	-819143.3083339836	126577.390625	-692565.9177089836	301.38601070293146	495.36184351174967	1.017537174903837	25.8	13:57
76.0%	380000	759.9999999958521	-818762.2577652624	126127.046875	-692635.2108902624	300.3137235781352	493.98947540199055	1.0203640277799961	25.8	13:22
77.0%	385000	769.9999999956157	-819685.3373478204	125324.4375	-694360.8998478204	298.40267740717513	495.7249713342191	1.0167918098728803	25.8	12:48
78.0%	390000	779.9999999953792	-819449.8245895864	125946.8046875	-693503.0199020864	299.8845594629423	497.67242652998686	1.0128129748247794	25.9	12:14
79.0%	395000	789.9999999951427	-818919.1834168728	125923.8046875	-692995.3787293728	299.8297955101389	494.66157146905664	1.0189776604339134	25.9	11:40
80.0%	400000	799.9999999949063	-817282.9232366607	125582.328125	-691700.5951116607	299.0167256687379	496.48805484483466	1.0152290390141023	25.9	11:07
81.0%	405000	809.9999999946698	-819287.5459171203	126409.5625	-692877.9834171203	300.986404984819	496.04900773446104	1.0161276062302373	25.9	10:33
82.0%	410000	819.9999999944333	-817460.8558148635	126207.578125	-691253.2776898635	300.5054718204917	496.39505802905524	1.0154192364513814	25.9	9:59
83.0%	415000	829.9999999941969	-818492.2629414373	126109.78125	-692382.4816914373	300.2726134097603	495.51249547786585	1.0172278104026498	26	9:25
84.0%	420000	839.9999999939604	-817750.245995285	126203.828125	-691546.417870285	300.4965429151433	495.33205727784093	1.017598363352792	26	8:52
85.0%	425000	849.9999999937239	-818774.2160371933	125717.6875	-693056.5285371933	299.3390219480422	493.7201279561529	1.0209206841307201	26	8:18
86.0%	430000	859.9999999934874	-818437.9280773574	125553.953125	-692883.9749523574	298.94916361826847	497.72932734528825	1.0126971892344008	26	7:45
87.0%	435000	869.999999993251	-818135.4213192104	126677.1015625	-691458.3197567104	301.6234265757677	496.4794716767017	1.0152465903571737	26	7:11
88.0%	440000	879.9999999930145	-819949.7136331773	126800.5625	-693149.1511331773	301.91739218247716	495.98787782793516	1.0162528427296842	26	6:38
89.0%	445000	889.999999992778	-816786.3031892544	126693.09375	-690093.2094392544	301.6615046367014	496.49135509040434	1.0152222906485893	26.1	6:04
90.0%	450000	899.9999999925416	-817960.300667034	125345.296875	-692615.003792034	298.4523444431755	495.14768685963185	1.017977270577443	26.1	5:31
91.0%	455000	909.9999999923051	-817248.8749803477	124827.390625	-692421.4843553477	297.21918820701916	496.49509136560215	1.0152146507948814	26.1	4:58
92.0%	460000	919.9999999920686	-819634.6823030547	126278.359375	-693356.3229280547	300.6740049089425	495.8172045852587	1.0166026635234038	26.1	4:24
93.0%	465000	929.9999999918322	-819259.5456884517	125273.84375	-693985.7019384517	298.2822115925165	496.8057497431419	1.014579825339593	26.1	3:51
94.0%	470000	939.9999999915957	-819622.9842507676	125439.0234375	-694183.9608132676	298.67551127122664	496.97403374881674	1.0142362710581003	26.1	3:18
95.0%	475000	949.9999999913592	-817850.3295641206	126175.1875	-691675.1420641206	300.4283484005451	495.73132108991024	1.0167787859236024	26.1	2:45
96.0%	480000	959.9999999911228	-819927.1369930538	125548.921875	-694378.2151180538	298.9371840035927	495.88937575669206	1.0164547083368327	26.1	2:12
97.0%	485000	969.9999999908863	-818934.1350981249	126964.609375	-691969.5257231249	302.3079945876966	496.5443204972443	1.0151139988819988	26.2	1:39
98.0%	490000	979.9999999906498	-820082.7763092439	125675.7109375	-694407.0653717439	299.2390740137988	496.51139696360104	1.0151813108109862	26.2	1:06
99.0%	495000	989.9999999904134	-819697.5834782207	127379.921875	-692317.6616032207	303.2968708550301	496.4684361381009	1.0152691573365056	26.2	0:33
100.0%	500000	999.9999999901769	-819135.360157012	125930.7890625	-693204.571094512	299.8464255963503	496.0052412357737	1.016217267273805	26.2	0:00
101.0%	505000	1009.9999999899404	-817715.7605302054	125504.4609375	-692211.2995927054	298.8313206695559	497.30544345099725	1.0135603730864242	26.2	23:59:28
102.0%	510000	1019.999999989704	-818634.4502926711	126766.421875	-691868.0284176711	301.83610194003455	495.12316096784656	1.0180276960116508	26.2	23:58:55
103.0%	515000	1029.9999999894676	-819099.3064491134	126183.828125	-692915.4783241134	300.4489220866186	496.27142224329054	1.0156722072039823	26.2	23:58:22
104.0%	520000	1039.9999999892311	-818777.4041643622	125083.1875	-693694.2166643622	297.82825116309573	495.2420530962136	1.0177832994004201	26.2	23:57:49
105.0%	525000	1049.9999999889947	-818788.81393144	125991.59375	-692797.22018144	299.9912040761971	495.6848974118113	1.016874012974703	26.2	23:57:16
106.0%	530000	1059.9999999887582	-818352.963869792	125885.5	-692467.463869792	299.73859046238243	495.0927041811926	1.018090322368459	26.2	23:56:43
107.0%	535000	1069.9999999885217	-818374.0813758434	125722.5078125	-692651.5735633434	299.35049931179213	497.0109417469665	1.0141609539427787	26.3	23:56:10
108.0%	540000	1079.9999999882853	-818330.6490164562	125777.640625	-692553.0083914562	299.48177282229955	495.05644042920477	1.0181648992690635	26.4	23:55:39
109.0%	545000	1089.9999999880488	-818536.9614780443	125760.34375	-692776.6177280443	299.4405882463802	497.2762092036544	1.0136199590350283	26.6	23:55:08
110.0%	550000	1099.9999999878123	-819253.3558679381	126014.484375	-693238.8714929381	300.0457076025945	494.7861055622412	1.0187211911080958	26.8	23:54:38
111.0%	555000	1109.9999999875758	-817567.6355708884	126630.796875	-690936.8386958884	301.5131731966014	496.40014585682746	1.0154088289641259	26.9	23:54:08
112.0%	560000	1119.9999999873394	-819701.0023641223	127243.5	-692457.5023641223	302.9720447192104	495.9522079700155	1.0163259336322512	27.1	23:53:38
113.0%	565000	1129.999999987103	-818822.8717567455	127528.328125	-691294.5436317455	303.6502322841924	496.7760682908432	1.0146404446097455	27.3	23:53:08
114.0%	570000	1139.9999999868664	-819102.9204661897	126363.6328125	-692739.2876536897	300.87704449618747	495.304409962176	1.0176551645090224	27.4	23:52:39
115.0%	575000	1149.99999998663	-819797.9136506934	125720.046875	-694077.8667756934	299.3446397176573	494.8743448028576	1.018539546645724	27.6	23:52:10
116.0%	580000	1159.9999999863935	-818251.7051724093	125591.765625	-692659.9395474093	299.039196747198	496.1563120658313	1.0159078470722427	27.7	23:51:42
117.0%	585000	1169.999999986157	-817917.555679989	126703.109375	-691214.446304989	301.685352254736	496.3028673421057	1.015607855544903	27.9	23:51:14
118.0%	590000	1179.9999999859206	-819083.8549498757	127196.5859375	-691887.2690123757	302.86034039292485	496.49613448659534	1.0152125178644487	28	23:50:46
119.0%	595000	1189.999999985684	-818697.4301561345	125001.4453125	-693695.9848436345	297.6336196283871	496.6264473513069	1.0149461300145879	28.2	23:50:18
