#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
63.0%	315000	629.9999999989262	-758361.610605814	118190.0234375	-640171.587168314	302.3919602068373	459.9425730448762	1.0196358640951368	29.3	18:11
64.0%	320000	639.9999999986898	-760011.0662860326	117914.453125	-642096.6131610326	301.68690706827226	462.4817367810426	1.0140377567445091	29.3	17:43
65.0%	325000	649.9999999984533	-760486.9922550255	117862.4765625	-642624.5156925255	301.55392380824696	462.17019836622495	1.0147212965236168	29.2	17:14
66.0%	330000	659.9999999982168	-760058.609811957	118345.1171875	-641713.492624457	302.78877122112004	459.9760702119637	1.0195616104216962	29.2	16:46
67.0%	335000	669.9999999979804	-759844.2736352351	116745.8046875	-643098.4689477351	298.69689250079773	460.0884328805347	1.0193126133699724	29.1	16:18
68.0%	340000	679.9999999977439	-760556.3135886891	118070.3125	-642486.0010886891	302.08567695216004	459.42528743448065	1.0207839135707872	29.1	15:49
69.0%	345000	689.9999999975074	-759236.7551499838	118239.8359375	-640996.9192124838	302.51940666195856	460.6867215794122	1.0179888434659652	29.1	15:21
70.0%	350000	699.999999997271	-758506.6321778884	118545.234375	-639961.3978028884	303.3007757612596	462.02274436775383	1.0150451435946326	29	14:53
71.0%	355000	709.9999999970345	-760792.6659198166	116834.75	-643957.9159198166	298.9244611788961	460.5186984534891	1.018360263059151	28.9	14:25
72.0%	360000	719.999999996798	-760142.6023089672	117675.2890625	-642467.3132464672	301.0750001782745	460.5828942383019	1.0182183245783107	28.9	13:57
73.0%	365000	729.9999999965615	-759799.0038481583	116277.140625	-643521.8632231583	297.49780445244977	460.7349601538122	1.0178822608646632	28.8	13:28
74.0%	370000	739.9999999963251	-758988.5914584044	118393.46875	-640595.1227084044	302.9124798332193	461.4215460620003	1.0163676726915085	28.8	12:59
75.0%	375000	749.9999999960886	-758010.0920792222	117567.0703125	-640443.0217667222	300.7981199561385	462.13572036197024	1.0147970006158076	28.8	12:30
76.0%	380000	759.9999999958521	-759458.2371972883	117151.546875	-642306.6903222883	299.73499344915416	461.19110144117826	1.0168755239102707	28.8	12:01
77.0%	385000	769.9999999956157	-759689.0325060291	116697.2734375	-642991.7590685291	298.57272415399524	461.19178320169135	1.016874020705738	28.7	11:32
78.0%	390000	779.9999999953792	-758749.0451562274	116964.859375	-641784.1857812274	299.25734908096456	461.68662172461256	1.0157841289594203	28.7	11:03
79.0%	395000	789.9999999951427	-758891.5987256737	116451.046875	-642440.5518506737	297.94274769131397	461.8360405966689	1.01545548999351	28.6	10:34
80.0%	400000	799.9999999949063	-760767.211075244	117701.3203125	-643065.890762744	301.1416017448466	460.8539567601261	1.0176194345768703	28.6	10:04
81.0%	405000	809.9999999946698	-759967.527191144	117480.234375	-642487.292816144	300.57594816368675	460.84961959181953	1.0176290116418654	28.6	9:33
82.0%	410000	819.9999999944333	-758720.743745551	117644.453125	-641076.290620551	300.9961057055073	459.365355495182	1.0209170920066735	28.6	9:03
83.0%	415000	829.9999999941969	-757839.3977161455	117495.59375	-640343.8039661455	300.61524548658014	460.29253281766836	1.0188606363651862	28.6	8:33
84.0%	420000	839.9999999939604	-759935.6846990231	117631.0703125	-642304.6143865231	300.96186546434944	463.089191494711	1.0127075982642735	28.6	8:03
85.0%	425000	849.9999999937239	-758628.5245647212	117201.609375	-641426.9151897212	299.86307953516683	461.86824352521916	1.0153846891946918	28.6	7:32
86.0%	430000	859.9999999934874	-758983.5277447342	117180.125	-641803.4027447342	299.80811125543295	460.70673568937514	1.0179446198002884	28.6	7:02
87.0%	435000	869.999999993251	-759911.2949518049	117343.1875	-642568.1074518049	300.22531050438056	460.45512797791383	1.018500857966876	28.6	6:32
88.0%	440000	879.9999999930145	-758993.1880071093	117243.46875	-641749.7192571093	299.9701777325538	460.3932287535889	1.0186377939797124	28.6	6:02
89.0%	445000	889.999999992778	-758381.6428807112	117192.421875	-641189.2210057112	299.83957309990603	460.5293240203444	1.0183367669330772	28.6	5:32
90.0%	450000	899.9999999925416	-760587.252487422	116582.75	-644004.502487422	298.2797132403155	462.893821480763	1.0131350239252277	28.6	5:02
91.0%	455000	909.9999999923051	-759280.3090589163	116719.5859375	-642560.7231214163	298.629811211057	461.89175463916547	1.0153330043034003	28.6	4:31
92.0%	460000	919.9999999920686	-761365.5844372674	117092.96875	-644272.6156872674	299.5851199359015	460.6399668652793	1.0180921687976567	28.6	4:01
93.0%	465000	929.9999999918322	-761573.8350191582	117578.5546875	-643995.2803316582	300.82750300021445	459.88960485625614	1.0197533015501323	28.6	3:31
94.0%	470000	939.9999999915957	-760198.8391568777	116883.5234375	-643315.3157193777	299.0492491681247	462.4671273102074	1.0140697904916838	28.6	3:01
